Name,Artist
Malibu,Anderson .Paak
Vespertine,Bjork
Sabbath Bloodyh Sabbath,Black Sabbath
"Awaken, My Love!",Childish Gambino
Random Access Memories,Daft Punk
TA13OO,Denzel Curry
The Score,Fugees
Plastic Beach,Gorillaz
The Black Album,Jay-Z
2000,Joey Bada$$
Scaring The Hoes: DLC Pack,JPEGMAFIA & Danny Brown
Firepower,Judas Priest
The College Dropout,Kanye West
Ye,Kanye West
To Pimp A Butterfly,Kendrick Lamar
Kids See Ghosts,Kids See Ghosts
Drill Music in Zion,Lupe Fiasco
Lupe Fiasco's Food & Liquor,Lupe Fiasco
...And Justice For All,Metallica
Madvillainy,Madvillain
Loveless,My Bloody Valentine
Illmatic,Nas
King's Disease III,Nas
Magic,Nas
Wish You Were Here,Pink Floyd
Daytona,Pusha T
A Night At The Opera,Queen
OK Computer,Radiohead
Evil Empire,Rage Against The Machine
Run The Jewels 3,Run The Jewels
South Of Heaven,Slayer
Slipknot,Slipknot
Call Me If You Get Lost,Tyler The Creator
Igor,Tyler The Creator
Scum Fuck Flower Boy,Tyler The Creator
Dawn FM,The Weeknd
Starboy,The Weeknd
Enter The Wu-Tang (36 Chambers),Wu-Tang Clan
